id,hospcode,areacode,date_com,b_year,r1_1,r1_2,r1_3,r1_4,r1_5,r1_6,r1_7,r2_1,r2_2,r3,r4,r5,r6
"297c1cb035778f7b49357693e6867e6c","06555","56090208","202511171152","2568",0,0,0,0,53,0,6,0,0,51,182,0,0
"297c1cb035778f7b49357693e6867e6c","08751","80010604","202511180625","2568",0,0,0,0,0,0,0,0,4,3,168,0,0
"297c1cb035778f7b49357693e6867e6c","07080","61020405","202511180549","2568",0,0,0,0,40,0,0,0,1,0,3,0,1
"297c1cb035778f7b49357693e6867e6c","24001","90110100","202511170445","2568",0,0,0,0,0,0,0,0,0,25,7,0,0
"297c1cb035778f7b49357693e6867e6c","11539","10180200","202511180554","2568",674,6,217,274,236,509,234,3,1023,755,887,0,501
"297c1cb035778f7b49357693e6867e6c","07609","66010205","202511180526","2568",1,1,0,0,5,0,0,0,5,11,90,0,0
"297c1cb035778f7b49357693e6867e6c","07427","64051001","202511180111","2568",0,1,0,0,9,1,0,0,0,138,26,0,0
"297c1cb035778f7b49357693e6867e6c","02437","27010301","202511170954","2568",0,0,0,0,1,0,0,1,3,30,116,0,0
"297c1cb035778f7b49357693e6867e6c","10015","95010601","202511171039","2568",0,0,0,0,1,0,1,0,0,17,160,0,0
"297c1cb035778f7b49357693e6867e6c","07857","70010403","202511171608","2568",0,0,0,0,71,0,7,0,0,3,53,0,0
"297c1cb035778f7b49357693e6867e6c","03531","34010804","202511170811","2568",22,0,5,15,12,1,57,0,27,122,249,0,0
"297c1cb035778f7b49357693e6867e6c","01151","14010713","202511171943","2568",1,1,0,0,1,0,0,0,1,81,150,0,0
"297c1cb035778f7b49357693e6867e6c","05815","50011102","202511152317","2568",11,0,0,0,2,0,4,0,5,13,49,0,0
"297c1cb035778f7b49357693e6867e6c","11264","67020107","202511171159","2568",1662,11,502,169,377,0,502,8,1992,728,611,0,237
"297c1cb035778f7b49357693e6867e6c","05091","45012012","202511170342","2568",0,0,0,0,25,0,0,0,10,86,65,0,0
"297c1cb035778f7b49357693e6867e6c","02270","24080208","202511180446","2568",1,0,0,0,141,0,3,0,1,77,104,0,0
"297c1cb035778f7b49357693e6867e6c","10720","61010100","202511180549","2568",1581,127,780,622,666,1139,975,9,4553,2945,1645,0,307
"297c1cb035778f7b49357693e6867e6c","05597","48010506","202511180414","2568",0,0,0,0,0,0,0,0,3,5,2,0,0
"297c1cb035778f7b49357693e6867e6c","05598","48010602","202511180414","2568",0,0,2,0,0,0,0,0,0,0,4,0,0
"297c1cb035778f7b49357693e6867e6c","99758","50190203","202511152317","2568",0,0,1,0,2,0,0,0,0,3,27,0,0
